10yardj.zip,10-Yard Fight (Japan),Irem
kaguya2f.zip,Mahjong Kaguyahime Sono2 Fukkokuban [BET] (Japan 010808),Miki Syouji
kaiteids.zip,Kaitei Daisensou (Japan),Irem
kaiunqz.zip,Kaiun Quiz (Japan, KW1/VER.A),Namco
kakumei.zip,Mahjong Kakumei (Japan),Jaleco
kakumei2.zip,Mahjong Kakumei 2 - Princess League (Japan),Jaleco
kamakazi3.zip,Kamakazi III (superg hack),hack
kanatuen.zip,Kanatsuen no Onna [BET] (Japan 880905),Panac
kangaroob.zip,Kangaroo (bootleg),bootleg
karatblzbl.zip,Karate Blazers (bootleg),bootleg
karatblzj.zip,Toushin Blazers (Japan),Video System Co.
karatedo.zip,Karate Dou (Japan),Data East Corporation
karatevs.zip,Taisen Karate Dou (Japan VS version),Data East Corporation
karatourj.zip,The Karate Tournament (Japan),Mitchell
karnovj.zip,Karnov (Japan),Data East Corporation
kartduel.zip,Kart Duel (Japan, KTD1/VER.A),Namco
kbash2.zip,Knuckle Bash 2 (bootleg),bootleg
kbashk.zip,Knuckle Bash (Korean PCB),Toaplan / Taito
keithlcy.zip,Dramatic Adventure Quiz Keith & Lucy (Japan),Visco
keks_2a.zip,Keks (bootleg, 060403, banking address hack),bootleg
keks_2b.zip,Keks (bootleg, 060403, banking address hack, changed version text),bootleg
keks_2c.zip,Keks (bootleg, 060403, VIDEO GAME-1 KS01 set 1),bootleg
keks_2d.zip,Keks (bootleg, 060403, VIDEO GAME-1 KS01 set 2),bootleg
keks_2e.zip,Keks (bootleg, 060403, banking address hack, payout percentage 60),bootleg
keks_2f.zip,Keks (bootleg, 060403, LOTTOGAME (I)),bootleg
keks_2g.zip,Keks (bootleg, 060403, LOTOS KS01),bootleg
keks_3.zip,Keks (070119 Russia),Igrosoft
keks_3a.zip,Keks (bootleg, 070119, banking address hack set 1),bootleg
keks_3b.zip,Keks (bootleg, 070119, banking address hack set 2),bootleg
keksa.zip,Keks (bootleg, 060328, banking address hack),bootleg
keksb.zip,Keks (bootleg, 060328, backdoor),bootleg
keksc.zip,Keks (bootleg, 060328, banking address hack, changed version text),bootleg
kenseim.zip,Ken Sei Mogura: Street Fighter II (Japan 940418, Ver 1.00),Capcom / Togo / Sigma
keroppij.zip,Kero Kero Keroppi no Issyoni Asobou (Japan),Sammy Industries
ketarr.zip,Ketsui: Kizuna Jigoku Tachi (2014/07/16 ARRANGE 1.7 VER) (hack),hack (trap15)
ketarr10.zip,Ketsui: Kizuna Jigoku Tachi (2012/04/17 ARRANGE VER) (hack),hack (trap15)
ketarr15.zip,Ketsui: Kizuna Jigoku Tachi (2012/06/26 ARRANGE 1.5 VER) (hack),hack (trap15)
ketarr151.zip,Ketsui: Kizuna Jigoku Tachi (2012/06/26 ARRANGE 1.51 VER) (hack),hack (trap15)
ketarrf.zip,Ketsui: Kizuna Jigoku Tachi (2012/04/17 FAST. VER) (hack),hack (trap15)
ketarrs15.zip,Ketsui: Kizuna Jigoku Tachi (2012/06/27 MR.STOIC 1.5 VER) (hack),hack (trap15)
ketarrs151.zip,Ketsui: Kizuna Jigoku Tachi (2012/06/27 MR.STOIC 1.51 VER) (hack),hack (trap15)
ketbl.zip,Ketsui: Kizuna Jigoku Tachi (2003/01/01. Master Ver., bootleg cartridge conversion),bootleg
kf10thep.zip,The King of Fighters 10th Anniversary Extra Plus (The King of Fighters 2002 bootleg),bootleg
kf2k2mp.zip,The King of Fighters 2002 Magic Plus (bootleg),bootleg
kf2k2mp2.zip,The King of Fighters 2002 Magic Plus II (bootleg),bootleg
kf2k2pla.zip,The King of Fighters 2002 Plus (bootleg set 2),bootleg
kf2k2pls.zip,The King of Fighters 2002 Plus (bootleg set 1),bootleg
kf2k3bl.zip,The King of Fighters 2003 (bootleg set 1),bootleg
kf2k3bla.zip,The King of Fighters 2003 (bootleg set 2),bootleg
kf2k3pcb.zip,The King of Fighters 2003 (Japan, JAMMA PCB),SNK Playmore
kf2k3pl.zip,The King of Fighters 2004 Plus / Hero (The King of Fighters 2003 bootleg),bootleg
kf2k3upl.zip,The King of Fighters 2004 Ultra Plus (The King of Fighters 2003 bootleg),bootleg
kf2k5uni.zip,The King of Fighters 10th Anniversary 2005 Unique (The King of Fighters 2002 bootleg),bootleg
kick4csh.zip,Kick '4' Cash,Sega
kickoff.zip,Kick Off (Japan),Jaleco
kikaioh.zip,Choukou Senki Kikaioh (Japan 980914),Capcom
kikcubic.zip,Meikyu Jima (Japan),Irem
kingballj.zip,King & Balloon (Japan),Namco
kingdrbb.zip,King Derby (Taiwan bootleg),bootleg (Casino Electronics)
kingdrbb2.zip,King Derby (bootleg set 2),bootleg
kinstb.zip,Killer Instinct (SNES bootleg),bootleg
klax2bl.zip,Klax (set 2, bootleg),bootleg
klaxd.zip,Klax (Germany),Atari Games
klaxj.zip,Klax (Japan),Atari Games
knckheadj.zip,Knuckle Heads (Japan),Namco
knckheadjp.zip,Knuckle Heads (Japan, Prototype?),Namco
knightsb.zip,Knights of the Round (bootleg),bootleg
knightsj.zip,Knights of the Round (Japan 911127, B-Board 91634B-2),Capcom
knightsja.zip,Knights of the Round (Japan 911127, B-Board 89625B-1),Capcom
knockout.zip,Knock Out!! (bootleg, set 1),bootleg? (KKK)
knockoutb.zip,Knock Out!! (bootleg, set 2),bootleg
knockoutc.zip,Knock Out!! (bootleg, set 3),bootleg (ESG)
knpuzzle.zip,Kotoba no Puzzle Mojipittan (Japan, KPM1 Ver.A),Namco
kodb.zip,The King of Dragons (bootleg),bootleg (Playmark)
kodj.zip,The King of Dragons (Japan 910805, B-Board 90629B-3),Capcom
kodja.zip,The King of Dragons (Japan 910805, B-Board 89625B-1),Capcom
kof10th.zip,The King of Fighters 10th Anniversary (The King of Fighters 2002 bootleg),bootleg
kof2002b.zip,The King of Fighters 2002 (bootleg),bootleg
kof2k4se.zip,The King of Fighters Special Edition 2004 (The King of Fighters 2002 bootleg),bootleg
kof97k.zip,The King of Fighters '97 (Korean release),SNK
kof97oro.zip,The King of Fighters '97 Oroshi Plus 2003 (bootleg),bootleg
kof97pls.zip,The King of Fighters '97 Plus (bootleg),bootleg
kof98k.zip,The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (Korean board),SNK
kof98ka.zip,The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (Korean board 2),SNK
kof99k.zip,The King of Fighters '99 - Millennium Battle (Korean release),SNK
kofnwj.zip,The King of Fighters Neowave (Japan),Sammy / SNK Playmore
kog.zip,King of Gladiator (The King of Fighters '97 bootleg),bootleg
koikois2.zip,Koi Koi Shimasho 2 - Super Real Hanafuda (Japan),Visco
koinomp.zip,Mahjong Koi no Magic Potion (Japan),Nichibutsu
kok.zip,Povar / Sobrat' Buran / Agroprom (Arcade multi-game bootleg of ZX Spectrum 'Cookie', 'Jetpac' & 'Pssst'),bootleg
kontest.zip,Konami Test Board (GX800, Japan),Konami
korinai.zip,Mahjong-zukino Korinai Menmen (Japan 880425),Nichibutsu
korinaim.zip,Mahjong-zukino Korinai Menmen [BET] (Japan 880920),Nichibutsu
korokoro.zip,Koro Koro Quest (Japan),Takumi
korosuke.zip,Korosuke Roller (Japan),Alpha Denshi Co. / Kural Electric, Ltd.
koshien.zip,Ah Eikou no Koshien (Japan),Taito Corporation
kotbinsp.zip,Kkot Bi Nyo Special (Korea),Dynax / Shinwhajin
kotbinyo.zip,Kkot Bi Nyo (Korea),Dynax / Shinwhajin
kov100.zip,Knights of Valour / Sangoku Senki (ver. 100, Japanese Board),IGS
kovsgqyz.zip,Knights of Valour: SanGuo QunYingZhuan / Sangoku Senki: SanGuo QunYingZhuan (bootleg, set 1),bootleg
kovsgqyza.zip,Knights of Valour: SanGuo QunYingZhuan / Sangoku Senki: SanGuo QunYingZhuan (bootleg, set 2),bootleg
kovsgqyzb.zip,Knights of Valour: SanGuo QunYingZhuan / Sangoku Senki: SanGuo QunYingZhuan (bootleg, set 3),bootleg
kozure.zip,Kozure Ookami (Japan),Nichibutsu
ktiger.zip,Kyukyoku Tiger (Japan),Toaplan / Taito Corporation
kuhga.zip,Kuhga - Operation Code 'Vapor Trail' (Japan revision 3),Data East Corporation
kungfub.zip,Kung-Fu Master (bootleg set 1),bootleg
kungfub2.zip,Kung-Fu Master (bootleg set 2),bootleg
kuniokun.zip,Nekketsu Kouha Kunio-kun (Japan),Technos Japan
kuniokunb.zip,Nekketsu Kouha Kunio-kun (Japan bootleg),bootleg
kurikintj.zip,Kuri Kinton (Japan),Taito Corporation
kurukuru.zip,Kuru Kuru Pyon Pyon (Japan),Success / Taiyo Jidoki
kyrosj.zip,Kyros No Yakata (Japan),Alpha Denshi Co.
kyuhito.zip,Kyukyoku no Hito [BET] (Japan 880824),Roller Tron
kyukaidk.zip,Kyuukai Douchuuki (Japan, new version (Rev B)),Namco
kyukaidko.zip,Kyuukai Douchuuki (Japan, old version),Namco
labyrunr.zip,Labyrinth Runner (Japan),Konami
ladybgb2.zip,Lady Bug (bootleg set 2),bootleg
ladybugb.zip,Lady Bug (bootleg set 1),bootleg
ladybugg.zip,Lady Bug (bootleg on Galaxian hardware),bootleg
lamachin.zip,L.A. Machineguns (Japan),Sega
landbrk.zip,Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.02),Eolith
landbrka.zip,Land Breaker (World) / Miss Tang Ja Ru Gi (Korea) (pcb ver 3.03) (AT89c52 protected),Eolith
landhigh.zip,Landing High Japan,Taito
lans2004.zip,Lansquenet 2004 (Shock Troopers - 2nd Squad bootleg),bootleg
laser.zip,Astro Laser (bootleg of Space Laser),bootleg (Leisure Time Electronics)
lastbrnxj.zip,Last Bronx (Japan, Revision A),Sega
lastduelb.zip,Last Duel (bootleg),bootleg
lastduelj.zip,Last Duel (Japan),Capcom
lastfortg.zip,Last Fortress - Toride (German),Metro
lastfortk.zip,Last Fortress - Toride (Korea),Metro
lasthope.zip,Last Hope (bootleg AES to MVS conversion, no coin support),NG:DEV.TEAM
lastmisnj.zip,Last Mission (Japan),Data East Corporation
lastsold.zip,The Last Soldier (Korean release of The Last Blade),SNK
lastsurv.zip,Last Survivor (Japan) (FD1094 317-0083),Sega
lastsurvd.zip,Last Survivor (Japan) (bootleg of FD1094 317-0083 set),bootleg
lbgrandeja.zip,Libero Grande (Japan, LG1/VER.A),Namco
ldrun3j.zip,Lode Runner III - Majin No Fukkatsu (Japan),Irem (licensed from Broderbund)
ldrun4.zip,Lode Runner IV - Teikoku Karano Dasshutsu (Japan),Irem (licensed from Broderbund)
leadang.zip,Lead Angle (Japan),Seibu Kaihatsu
leaguemn.zip,Yakyuu Kakutou League-Man (Japan),Irem
legendb.zip,Legion (bootleg of Legend),bootleg
legionj.zip,Chouji Meikyuu Legion (Japan ver 1.05),Nichibutsu
legionjb.zip,Chouji Meikyuu Legion (Japan ver 1.05, bootleg),bootleg
legionnaj.zip,Legionnaire (Japan),TAD Corporation
legofair.zip,Koukuu Kihei Monogatari - The Legend of Air Cavalry (Japan),SNK
lemnangl.zip,Mahjong Lemon Angel (Japan),Home Data
leprgld.zip,Leprechaun's Gold (Russian),WMS
leprglds.zip,Leprechaun's Gold (Spanish),WMS
lethalenux.zip,Lethal Enforcers (ver unknown, US, 08/06/92 15:11, hacked/proto?),Konami
lghostd.zip,Laser Ghost (World) (bootleg of FD1094 317-0166 set),bootleg
lghostj.zip,Laser Ghost (Japan) (FD1094 317-0164),Sega
lghostud.zip,Laser Ghost (US) (bootleg of FD1094 317-0165 set),bootleg
lhaunt_4a.zip,Lucky Haunter (bootleg, 031111, backdoor),bootleg
lhaunt_5a.zip,Lucky Haunter (bootleg, 040216, backdoor),bootleg
lhaunt_6a.zip,Lucky Haunter (bootleg, 040825, backdoor),bootleg
lhaunt_6b.zip,Lucky Haunter (bootleg, 040825, VIDEO GAME-1 PB01),bootleg
lhaunt_6c.zip,Lucky Haunter (bootleg, 040825, changed version text),bootleg
lhaunt_6d.zip,Lucky Haunter (bootleg, 040825, LOTTOGAME (I)),bootleg
lhaunt_6e.zip,Lucky Haunter (bootleg, 040825, LOTO PROGRAM V-LH2),bootleg
lhaunt_6f.zip,Lucky Haunter (bootleg, 040825, LOTOS PB01),bootleg
lhaunt_7.zip,Lucky Haunter (070402 Russia),Igrosoft
lhaunt_8.zip,Lucky Haunter (070604 Russia),Igrosoft
liberateb.zip,Liberation (bootleg),bootleg
lifefrcej.zip,Lifeforce (Japan),Konami
livegal.zip,Live Gal (Japan 870530),Central Denshi
livequiz.zip,Live Quiz Show,Andamiro
lkageb.zip,The Legend of Kage (bootleg set 1),bootleg
lkageb2.zip,The Legend of Kage (bootleg set 2),bootleg
lkageb3.zip,The Legend of Kage (bootleg set 3),bootleg
locoboot.zip,Loco-Motion (bootleg),bootleg
loffired.zip,Line of Fire / Bakudan Yarou (World) (bootleg of FD1094 317-0136 set),bootleg
loffirej.zip,Line of Fire / Bakudan Yarou (Japan) (FD1094 317-0134),Sega
loffirejd.zip,Line of Fire / Bakudan Yarou (Japan) (bootleg of FD1094 317-0134 set),bootleg
loffireud.zip,Line of Fire / Bakudan Yarou (US) (bootleg of FD1094 317-0135 set),bootleg
logicpr2.zip,Logic Pro 2 (Japan),Deniam
logicpro.zip,Logic Pro (Japan),Deniam
lohtb.zip,Legend of Hero Tonma (unprotected bootleg),bootleg
lohtb2.zip,Legend of Hero Tonma (Japan, bootleg with i8751),bootleg
lohtj.zip,Legend of Hero Tonma (Japan),Irem
lol.zip,Life of Luxury (Russian),WMS
lordofk.zip,The Lord of King (Japan),Jaleco
lostwrld.zip,Lost Worlds (Japan),Capcom
lostwrldo.zip,Lost Worlds (Japan Old Ver.),Capcom
lostwsga.zip,The Lost World (Japan, Revision A),Sega
lotr_fr.zip,The Lord Of The Rings (10.00 France),Stern
lotr_fr401.zip,The Lord Of The Rings (4.01 France),Stern
lotr_fr410.zip,The Lord Of The Rings (4.10 France),Stern
lotr_fr5.zip,The Lord Of The Rings (5.0 France),Stern
lotr_fr501.zip,The Lord Of The Rings (5.01 France),Stern
lotr_fr6.zip,The Lord Of The Rings (6.0 France),Stern
lotr_fr7.zip,The Lord Of The Rings (7.0 France),Stern
lotr_fr8.zip,The Lord Of The Rings (8.0 France),Stern
lotr_fr9.zip,The Lord Of The Rings (9.0 France),Stern
lotr_gr.zip,The Lord Of The Rings (10.00 Germany),Stern
lotr_gr401.zip,The Lord Of The Rings (4.01 Germany),Stern
lotr_gr410.zip,The Lord Of The Rings (4.10 Germany),Stern
lotr_gr5.zip,The Lord Of The Rings (5.0 Germany),Stern
lotr_gr501.zip,The Lord Of The Rings (5.01 Germany),Stern
lotr_gr6.zip,The Lord Of The Rings (6.0 Germany),Stern
lotr_gr7.zip,The Lord Of The Rings (7.0 Germany),Stern
lotr_gr8.zip,The Lord Of The Rings (8.0 Germany),Stern
lotr_gr9.zip,The Lord Of The Rings (9.0 Germany),Stern
lougcm.zip,Louie's Gold - Mr. Cashman (20006911, NSW/ACT),Aristocrat
lovehous.zip,Mahjong Love House [BET] (Japan 901024),Nichibutsu
lovewin.zip,Love To Win (Russian),WMS
lpadv.zip,Logic Pro Adventure (Japan),Amuse World
lrescuem.zip,Lunar Rescue (Model Racing bootleg, set 1),bootleg (Model Racing)
lrescuem2.zip,Lunar Rescue (Model Racing bootleg, set 2),bootleg (Model Racing)
lsrquiz.zip,Laser Quiz Italy,CD Express
lsrquiz2.zip,Laser Quiz 2 Italy (v1.0),CD Express
ltcasinn.zip,Little Casino (newer),Digital Controls Inc.
ltcasino.zip,Little Casino (older),Digital Controls Inc.
luckshel.zip,Lucky Shell (Russia) (Extrema),Extrema
lucky74.zip,Lucky 74 (bootleg, set 1),Wing Co., Ltd.
lucky74a.zip,Lucky 74 (bootleg, set 3),Wing Co., Ltd.
lucky74b.zip,Lucky 74 (bootleg, set 2),Wing Co., Ltd.
luckyrlt.zip,Lucky Roulette Plus (6-players, Spanish),<unknown>
luckywldj.zip,Lucky & Wild (Japan),Namco
lvpoker.zip,Lovely Poker [BET],Tehkan
lwingsb.zip,Legendary Wings (bootleg),bootleg
lwingsj.zip,Ares no Tsubasa (Japan),Capcom
m1albsq.zip,Albert Square (Maygay) v4.1 (M1A/B),Maygay
m1albsq1.zip,Albert Square (Maygay) v1.1 (M1A/B),Maygay
m1albsq1p.zip,Albert Square (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1albsq2.zip,Albert Square (Maygay) v2.2 (M1A/B),Maygay
m1albsq3.zip,Albert Square (Maygay) v3.0 (M1A/B),Maygay
m1albsqp.zip,Albert Square (Maygay) v4.1 (Protocol) (M1A/B),Maygay
m1alley.zip,Alley Cat (Maygay) (M1A/B),Maygay
m1apollo.zip,Apollo 9 (Maygay) vA.1 (Newer) (M1A/B),Maygay
m1apollo11.zip,Apollo 9 (Maygay) v11? (M1A/B),Maygay
m1apollo11b.zip,Apollo 9 (Maygay) v11? (BwB Rebuild) (M1A/B),Maygay
m1apollo11p.zip,Apollo 9 (Maygay) v11? (Protocol) (M1A/B),Maygay
m1apollo2.zip,Apollo 9 (Maygay) v2.1 (M1A/B),Maygay
m1apollo2p.zip,Apollo 9 (Maygay) v2.1 (Protocol) (M1A/B),Maygay
m1apollo3.zip,Apollo 9 (Maygay) v3.1 (M1A/B),Maygay
m1apollo3p.zip,Apollo 9 (Maygay) v3.1 (Protocol) (M1A/B),Maygay
m1apollo4.zip,Apollo 9 (Maygay) v4.1 (Newer) (M1A/B),Maygay
m1apollo4o.zip,Apollo 9 (Maygay) v4.1 (Older, Token)(M1A/B),Maygay
m1apollo4p.zip,Apollo 9 (Maygay) v4.1 (Newer) (Protocol) (M1A/B),Maygay
m1apollo5.zip,Apollo 9 (Maygay) v5.1 (M1A/B),Maygay
m1apollo5p.zip,Apollo 9 (Maygay) v5.1 (Protocol) (M1A/B),Maygay
m1apollo7.zip,Apollo 9 (Maygay) v7.1 (M1A/B),Maygay
m1apollo7p.zip,Apollo 9 (Maygay) v7.1 (Protocol) (M1A/B),Maygay
m1apollo8.zip,Apollo 9 (Maygay) v8.1 (M1A/B),Maygay
m1apollo8p.zip,Apollo 9 (Maygay) v8.1 (Protocol) (M1A/B),Maygay
m1apollo9.zip,Apollo 9 (Maygay) v9.1 (M1A/B),Maygay
m1apollo9p.zip,Apollo 9 (Maygay) v9.1 (Protocol) (M1A/B),Maygay
m1apolloa.zip,Apollo 9 (Maygay) vA.1 (Older) (M1A/B),Maygay
m1apolloao.zip,Apollo 9 (Maygay) vA.1 (Older, 15GBP) (M1A/B),Maygay
m1apolloap.zip,Apollo 9 (Maygay) vA.1 (Older) (Protocol) (M1A/B),Maygay
m1apolloh.zip,Apollo 9 (Maygay) vA.1 (Newer) (Hack?) (M1A/B),Maygay
m1apollop.zip,Apollo 9 (Maygay) vA.1 (Newer) (Protocol) (M1A/B),Maygay
m1bankbs.zip,Bank Buster Club (Maygay) v2.9 (M1A/B),Maygay
m1bankbso.zip,Bank Buster Club (Maygay) v2.8 (M1A/B),Maygay
m1bankbsp.zip,Bank Buster Club (Maygay) v2.9 (Protocol) (M1A/B),Maygay
m1bankrl.zip,Bank Roll (Maygay) v1.1 (M1A/B),Maygay
m1bankrl2p.zip,Bank Roll (Maygay) v2.1 (Protocol) (M1A/B),Maygay
m1bankrlp.zip,Bank Roll (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1bargn.zip,Bar-gain (Maygay) v7.1 (M1A/B),Maygay
m1bargnc.zip,Casino Bar-gain (Maygay) v5.1 (M1A/B),Maygay
m1bargncp.zip,Casino Bar-gain (Maygay) v5.1 (Protocol)(M1A/B),Maygay
m1bargnp.zip,Bar-gain (Maygay) v7.1 (Protocol) (M1A/B),Maygay
m1bghou.zip,Big Ghoulies (Gemini) (M1A/B) (set 1),Gemini
m1bghoua.zip,Big Ghoulies (Gemini) (M1A/B) (set 2),Gemini
m1bghoub.zip,Big Ghoulies (Gemini) (M1A/B) (set 3),Gemini
m1bghouc.zip,Big Ghoulies (Gemini) (M1A/B) (set 4),Gemini
m1bghoud.zip,Big Ghoulies (Gemini) (M1A/B) (set 5),Gemini
m1bghoue.zip,Big Ghoulies (Gemini) (M1A/B) (set 6),Gemini
m1bghouf.zip,Big Ghoulies (Gemini) (M1A/B) (set 7),Gemini
m1bghoug.zip,Big Ghoulies (Gemini) (M1A/B) (set 8),Gemini
m1bigdel.zip,Big Deal (Maygay) (M1A/B),Maygay
m1bignit.zip,Mike Reid's Big Night Out (Maygay) (M1A/B) (set 1),Maygay
m1bignita.zip,Mike Reid's Big Night Out (Maygay) (M1A/B) (set 2),Maygay
m1bignitb.zip,Mike Reid's Big Night Out (Maygay) (M1A/B) (set 3),Maygay
m1bignitc.zip,Mike Reid's Big Night Out (Maygay) (M1A/B) (set 4),Maygay
m1blkhol.zip,Black Hole (Dutch) (Maygay) (M1A/B),Maygay
m1bluemx.zip,Blue Max (Maygay) v2.1 (M1A/B),Maygay
m1bluemxp.zip,Blue Max (Maygay) v2.1 (Protocol) (M1A/B),Maygay
m1bondi.zip,Bondi Beach (Maygay) v1.1 (Newer) (M1A/B),Maygay
m1bondi1.zip,Bondi Beach (Maygay) v1.1 (M1A/B),Maygay
m1bondi1p.zip,Bondi Beach (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1bondi2.zip,Bondi Beach (Maygay) v2.1 (M1A/B),Maygay
m1bondi2p.zip,Bondi Beach (Maygay) v2.1 (Protocol) (M1A/B),Maygay
m1bondi2po.zip,Bondi Beach (Maygay) v2.1 (Older) (Protocol) (M1A/B),Maygay
m1bondi3.zip,Bondi Beach (Maygay) v3.1 (M1A/B),Maygay
m1bondi4.zip,Bondi Beach (Maygay) v4.1 (M1A/B),Maygay
m1bondi4p.zip,Bondi Beach (Maygay) v4.1 (Protocol) (M1A/B),Maygay
m1bondip.zip,Bondi Beach (Maygay) v1.1 (Newer) (Protocol) (M1A/B),Maygay
m1bountc.zip,Bounty Hunter Club (Maygay) v1.3 (M1A/B),Maygay
m1bountcp.zip,Bounty Hunter Club (Maygay) v1.3 (Protocol) (M1A/B),Maygay
m1calyps.zip,Calypso (Maygay) (M1A/B) (set 1),Maygay
m1calypsa.zip,Calypso (Maygay) (M1A/B) (set 2),Maygay
m1calypsb.zip,Calypso (Maygay) (M1A/B) (set 3),Maygay
m1casclb.zip,Casino Club (Maygay) v1.2 (M1A/B),Maygay
m1casclb1.zip,Casino Club (Maygay) v1.1 (M1A/B),Maygay
m1casclbp.zip,Casino Club (Maygay) v1.2 (Protocol) (M1A/B),Maygay
m1casgcl.zip,Casino Gambler Club (Maygay) v1.2 (M1A/B),Maygay
m1casgclp.zip,Casino Gambler Club (Maygay) v1.2 (Protocol) (M1A/B),Maygay
m1cashc.zip,Cash Classic (Maygay) (M1A/B) (set 1),Maygay
m1cashca.zip,Cash Classic (Maygay) (M1A/B) (set 2),Maygay
m1cashln.zip,Cash Lines (Maygay) (M1A/B),Maygay
m1casroy.zip,Casino Royale Club (Maygay) v1.2 (M1A/B),Maygay
m1casroy1.zip,Casino Royale Club (Maygay) v1.1 (M1A/B),Maygay
m1casroyp.zip,Casino Royale Club (Maygay) v1.2 (Protocol) (M1A/B),Maygay
m1chain.zip,Chain Reaction (Maygay) (M1A/B),Maygay
m1cik.zip,Cash Is King (Maygay) v11? (M1A/B),Maygay
m1cik11.zip,Cash Is King (Maygay) v1.1 (M1A/B),Maygay
m1cik11n.zip,Cash Is King (Maygay) v1.1 (alternate) (M1A/B),Maygay
m1cik11np.zip,Cash Is King (Maygay) v1.1 (alternate,Protocol) (M1A/B),Maygay
m1cik11p.zip,Cash Is King (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1cik12.zip,Cash Is King (Maygay) v1.2 (M1A/B),Maygay
m1cik21.zip,Cash Is King (Maygay) v2.1 (M1A/B),Maygay
m1cik21p.zip,Cash Is King (Maygay) v2.1 (Protocol) (M1A/B),Maygay
m1cik31.zip,Cash Is King (Maygay) v3.1 (M1A/B),Maygay
m1cik31p.zip,Cash Is King (Maygay) v3.1 (Protocol) (M1A/B),Maygay
m1cik41.zip,Cash Is King (Maygay) v4.1 (M1A/B),Maygay
m1cik41p.zip,Cash Is King (Maygay) v4.1 (Protocol) (M1A/B),Maygay
m1cik51.zip,Cash Is King (Maygay) v5.1 (M1A/B),Maygay
m1cik51o.zip,Cash Is King (Maygay) v5.1 (Older) (M1A/B),Maygay
m1cik51p.zip,Cash Is King (Maygay) v5.1 (Protocol) (M1A/B),Maygay
m1cikh.zip,Cash Is King (Maygay) v11? (Hack?) (M1A/B),Maygay
m1cikp.zip,Cash Is King (Maygay) v11? (Protocol) (M1A/B),Maygay
m1clbfvr.zip,Club Fever (Maygay) v1.1 (M1A/B),Maygay
m1clbfvrp.zip,Club Fever (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1cluecb.zip,Cluedo Club (Maygay) v3.1 (M1A/B),Maygay
m1cluecb1.zip,Cluedo Club (Maygay) v1.1 (M1A/B),Maygay
m1cluecb1p.zip,Cluedo Club (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1cluecb2.zip,Cluedo Club (Maygay) v2.1 (M1A/B),Maygay
m1cluecb2p.zip,Cluedo Club (Maygay) v2.1 (Protocol) (M1A/B),Maygay
m1cluecbp.zip,Cluedo Club (Maygay) v3.1 (Protocol) (M1A/B),Maygay
m1cluedo.zip,Cluedo (Maygay) v6.1 (M1A/B),Maygay
m1cluedo1.zip,Cluedo (Maygay) v1.1 (M1A/B),Maygay
m1cluedo1h.zip,Cluedo (Maygay) v1.1 (Hack?) (M1A/B),Maygay
m1cluedo1p.zip,Cluedo (Maygay) v1.1 (Protocol) (M1A/B),Maygay
m1cluedo3.zip,Cluedo (Maygay) v3.1 (M1A/B),Maygay
m1cluedo3h.zip,Cluedo (Maygay) v3.1 (Hack?) (M1A/B),Maygay
m1cluedo3p.zip,Cluedo (Maygay) v3.1 (Protocol) (M1A/B),Maygay
m1cluedo4.zip,Cluedo (Maygay) v4.1 (M1A/B),Maygay
m1cluedo4p.zip,Cluedo (Maygay) v4.1 (Protocol) (M1A/B),Maygay
m1cluedo5.zip,Cluedo (Maygay) v5.1 (M1A/B),Maygay
m1cluedo5p.zip,Cluedo (Maygay) v5.1 (Protocol) (M1A/B),Maygay
m1cluedoi.zip,Cluedo (Maygay) v7.2 (Isle of Man) (M1A/B),Maygay
m1cluedoip.zip,Cluedo (Maygay) v7.2 (Isle of Man) (Protocol) (M1A/B),Maygay
m1cluedon.zip,Cluedo (Maygay) v1.2 (Newer) (M1A/B),Maygay
m1cluedonp.zip,Cluedo (Maygay) v1.2 (Newer) (Protocol) (M1A/B),Maygay
m1cluedop.zip,Cluedo (Maygay) v6.1 (Protocol) (M1A/B),Maygay
m1cluesh.zip,Super Cluedo Showcase (Maygay) v1.2 (M1A/B),Maygay
m1cluesho.zip,Super Cluedo Showcase (Maygay) v1.2 (Older) (M1A/B),Maygay
m1clueshop.zip,Super Cluedo Showcase (Maygay) v1.2 (Older) (Protocol) (M1A/B),Maygay
m1clueshp.zip,Super Cluedo Showcase (Maygay) v1.2 (Protocol) (M1A/B),Maygay
m1cluess.zip,Cluedo Super Sleuth (Maygay) v2.3 (M1A/B),Maygay
m1cluessa.zip,Cluedo Super Sleuth (Maygay) v1.2 (Newer) (M1A/B),Maygay
m1cluessap.zip,Cluedo Super Sleuth (Maygay) v1.2 (Newer) (Protocol) (M1A/B),Maygay
m1cluessb.zip,Cluedo Super Sleuth (Maygay) v7.1 (Older) (M1A/B),Maygay
m1cluessbp.zip,Cluedo Super Sleuth (Maygay) v7.1 (Older) (Protocol) (M1A/B),Maygay
